Process ID, Service Time, Turn Around Time
1,80,1933
2,17,207
3,40,1075
4,29,740
5,95,2197
6,48,1489
7,22,875
8,24,907
9,20,506
10,60,1750
11,42,1555
12,23,965
13,103,2255
14,23,976
15,95,2217
16,105,2252
17,41,1595
18,35,1332
19,37,1339
20,5,189
21,50,1601
22,12,661
23,47,1598
24,6,224
25,91,2209
26,68,1933
27,4,1937
28,17,251
29,152,706
30,63,2277
31,77,2054
32,14,736
33,79,2069
34,43,1658
35,13,764
36,97,2204
37,44,1664
38,76,2072
39,37,1452
40,87,2150
41,18,816
42,21,1164
43,42,1672
44,11,830
45,31,1441
46,55,1806
47,41,1652
48,18,853
49,26,1149
50,37,1380
